epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.133,1.30991,2.32081,1.423,0.53588,0.33112,0.41419,0.22741,1.35488,2.61798,1.52659,0.000546704,0.000546704,0.000546704
2,657.702,1.28167,1.69232,1.38907,0.379,0.49509,0.41258,0.20919,1.78888,2.61094,2.04947,0.0010478,0.0010478,0.0010478
3,976.569,1.30592,1.57513,1.39648,0.51204,0.49005,0.48223,0.23716,1.73922,2.29004,2.04473,0.00149389,0.00149389,0.00149389
4,1310.49,1.26684,1.48244,1.38492,0.52847,0.49354,0.47495,0.26102,1.5951,2.17497,1.74167,0.00141945,0.00141945,0.00141945
5,1655.09,1.25021,1.36566,1.36992,0.63694,0.54156,0.56998,0.31981,1.58627,1.95577,1.82016,0.00133693,0.00133693,0.00133693
6,2028.02,1.20393,1.30558,1.33986,0.6164,0.6229,0.61993,0.37066,1.36244,1.52698,1.49114,0.00125442,0.00125442,0.00125442
7,2394.87,1.1773,1.22687,1.31203,0.72798,0.53758,0.60162,0.34512,1.43579,1.62562,1.63823,0.0011719,0.0011719,0.0011719
8,2770.4,1.12405,1.14204,1.28985,0.6563,0.5916,0.64311,0.41275,1.20849,1.4143,1.47095,0.00108938,0.00108938,0.00108938
9,3172.46,1.07534,1.05411,1.24887,0.76413,0.58886,0.67333,0.45337,1.22707,1.34249,1.49454,0.00100687,0.00100687,0.00100687
10,3598.46,1.05534,0.98191,1.23028,0.88432,0.58389,0.70305,0.48684,1.08721,1.23327,1.35959,0.000924352,0.000924352,0.000924352
11,4021.3,1.05991,1.00498,1.29014,0.67443,0.63889,0.61795,0.4271,1.24847,1.33935,1.43373,0.000841835,0.000841835,0.000841835
12,4338.92,0.98921,0.91485,1.23359,0.80965,0.73989,0.76427,0.51936,1.1288,1.16768,1.36335,0.000759318,0.000759318,0.000759318
13,4648.51,0.95667,0.84715,1.21188,0.83177,0.63152,0.71833,0.50274,1.12443,1.18592,1.39819,0.000676802,0.000676802,0.000676802
14,4964.72,0.9164,0.77874,1.17888,0.70413,0.64456,0.67869,0.47848,1.09389,1.20731,1.36728,0.000594286,0.000594286,0.000594286
15,5274.15,0.89149,0.75184,1.15238,0.81145,0.69564,0.70174,0.51022,1.10589,1.10878,1.39315,0.000511769,0.000511769,0.000511769
16,5582.33,0.83645,0.70157,1.12514,0.76703,0.67882,0.70137,0.49404,1.15422,1.1805,1.41854,0.000429253,0.000429253,0.000429253
17,5902.04,0.79881,0.64586,1.10231,0.82483,0.68639,0.73084,0.53328,1.05794,1.13783,1.37755,0.000346736,0.000346736,0.000346736
18,6215.33,0.78236,0.62767,1.08674,0.88106,0.71686,0.75831,0.54948,1.06039,0.97252,1.40542,0.00026422,0.00026422,0.00026422
19,6530.03,0.74889,0.59092,1.0583,0.88783,0.70447,0.74337,0.53778,1.1142,1.0525,1.4378,0.000181703,0.000181703,0.000181703
20,6845.87,0.70894,0.56244,1.03953,0.79722,0.77299,0.75585,0.54442,1.07008,1.02576,1.37794,9.91865e-05,9.91865e-05,9.91865e-05
