epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2861,0.56124,3.03229,1.01817,0.01781,0.70108,0.30316,0.28014,0.40941,3.12534,0.9023,7.145e-05,7.145e-05,7.145e-05
2,82.2653,0.49149,2.47984,0.94945,0.01777,0.69032,0.31475,0.27412,0.49196,2.97703,0.97022,0.000141628,0.000141628,0.000141628
3,117.046,0.49558,1.66749,0.93272,1,0.12597,0.34619,0.31831,0.49346,2.66723,0.96542,0.00019483,0.00019483,0.00019483
4,155.422,0.45786,1.3787,0.92115,0.96795,0.22581,0.34798,0.32282,0.52931,2.49946,0.94696,0.000231055,0.000231055,0.000231055
5,189.294,0.48884,1.3195,0.92546,0.96184,0.24955,0.40714,0.37177,0.52397,2.43369,0.92237,0.000250304,0.000250304,0.000250304
6,230.978,0.44829,1.1848,0.91081,0.9524,0.29388,0.51551,0.47881,0.48121,2.44499,0.92322,0.000252576,0.000252576,0.000252576
7,268.189,0.43077,1.05147,0.90954,0.97056,0.366,0.56418,0.50463,0.52368,2.29038,0.96304,0.000237871,0.000237871,0.000237871
8,304.234,0.4104,0.97939,0.88442,0.90867,0.41628,0.57456,0.51434,0.53098,2.14366,0.96885,0.00020619,0.00020619,0.00020619
9,339.663,0.3992,0.79929,0.86929,0.84971,0.46587,0.61754,0.55078,0.50925,1.93741,0.95236,0.000157533,0.000157533,0.000157533
10,375.116,0.39431,0.78535,0.87005,0.89223,0.47191,0.64625,0.57988,0.48335,1.7717,0.94625,9.1899e-05,9.1899e-05,9.1899e-05
